		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
010111011  250  246  265  258  217  248  266  247  8.066091 0.427041 SUCCESS  66
010111111  235  260  234  222  251  247  242  248  4.246733 0.834204 SUCCESS  67
011000111  226  255  239  250  246  228  276  237  7.786471 0.454602 SUCCESS  68
011001111  280  229  233  230  273  257  238  244 12.185195 0.143130 SUCCESS  69
011010111  229  244  223  243  246  255  235  233  4.258384 0.833091 SUCCESS  70
011011111  251  277  258  250  243  213  265  259 12.634282 0.125068 SUCCESS  71
011101111  227  265  240  280  234  285  266  235 18.506307 0.017735 SUCCESS  72
011111111  224  249  227  226  248  230  212  241  9.773470 0.281287 SUCCESS  73
100000000  229  250  253  253  229  237  249  245  3.071057 0.929819 SUCCESS  74
100010000  240  232  234  268  240  225  232  233  6.313169 0.612197 SUCCESS  75
100100000  236  249  247  247  244  252  283  248  7.179568 0.517389 SUCCESS  76
100101000  257  247  261  254  252  249  248  257  3.486250 0.900254 SUCCESS  77
100110000  246  249  247  259  234  279  215  228 11.370695 0.181567 SUCCESS  78
100111000  241  235  252  249  222  245  240  265  4.753015 0.783619 SUCCESS  79
101000000  229  259  232  266  253  249  267  232  7.830956 0.450155 SUCCESS  80
101000100  233  247  278  269  254  242  226  237 10.081688 0.259339 SUCCESS  81
101001000  238  252  233  236  245  224  224  283 11.063536 0.198125 SUCCESS  82
101001100  250  232  239  248  238  254  267  260  4.800677 0.778652 SUCCESS  83
101010000  274  230  252  257  223  237  245  238  7.859554 0.447308 SUCCESS  84
101010100  252  264  236  241  240  216  231  221  8.676172 0.370346 SUCCESS  85
101011000  249  244  258  243  230  224  246  228  4.599436 0.799404 SUCCESS  86
101011100  243  237  267  243  231  256  261  262  6.330116 0.610306 SUCCESS  87
101100000  234  234  253  263  238  221  242  240  5.227522 0.733004 SUCCESS  88
101100100  232  243  248  244  270  249  254  224  5.758165 0.674300 SUCCESS  89
101101000  229  270  238  247  256  224  245  225  7.865909 0.446677 SUCCESS  90
101101100  250  236  265  256  246  239  243  229  3.970290 0.859794 SUCCESS  91
101110000  249  231  234  257  248  245  244  235  2.386834 0.966799 SUCCESS  92
101110100  248  235  256  237  228  244  241  237  2.587017 0.957550 SUCCESS  93
